,GLA,REIT,city,free_GLA,last_renovation,ownership,pct_lease,property_name,renovation_year,rent_per_sq,state,tenants,year_acquired,year_built,year_built_or_acquired,zipcode
582,917960.0,GGP,Murray,418360.0,,100.0,96.7,Fashion Place,,,UT,"[""Dillard's, Nordstrom""]",,,,
583,1078793.0,GGP,Greensboro,436777.0,,100.0,96.4,Four Seasons Town Centre,,,NC,"[""Dillard's, JCPenney""]",,,,
584,1154298.0,GGP,Appleton,559384.0,,100.0,97.3,Fox River Mall,,,WI,"[""JCPenney, Macy's, Sears, Target, Younkers""]",,,,
585,1224890.0,GGP,Fort Wayne,448020.0,,100.0,90.5,Glenbrook Square,,,IN,"[""JCPenney, Macy's, Sears, Carson's""]",,,,
586,1030972.0,GGP,Tallahassee,339367.0,,100.0,99.5,Governor's Square,,,FL,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
587,630321.0,GGP,Idaho Falls,213122.0,,100.0,92.0,Grand Teton Mall,,,ID,"[""Dillard's, JCPenney, Macy's, Sears""]",,,,
588,851576.0,GGP,Bowling Green,422523.0,,100.0,99.8,Greenwood Mall,,,KY,"[""Dillard's, JCPenney, Sears, Macy's""]",,,,
589,991148.0,GGP,Ft. Worth,394578.0,,100.0,98.3,Hulen Mall,,,TX,"[""Dillard's, Macy's, Sears""]",,,,
590,1346015.0,GGP,West Des Moines,736522.0,,100.0,99.0,Jordan Creek Town Center,,,IA,"[""Dillard's, Younkers""]",,,,
591,1503945.0,GGP,Sterling Heights,483227.0,,100.0,85.1,Lakeside Mall,,,MI,"[""JCPenney, Lord & Taylor, Macy's, Macy's"", ""Men's & Home, Sears""]",,,,
592,1181022.0,GGP,Virginia Beach,649630.0,,100.0,98.8,Lynnhaven Mall,,,VA,"[""Dillard's, JCPenney, Macy's""]",,,,
593,1559645.0,GGP,Baton Rouge,610381.0,,100.0,97.7,Mall of Louisiana,,,LA,"[""Dillard's, Dillard's Men's & Home, JCPenney,"", ""Macy's, Sears""]",,,,
594,1019067.0,GGP,Louisville,504932.0,,100.0,98.7,Mall St. Matthews,,,KY,"[""Dillard's, Dillard's Men's & Home, JCPenney""]",,,,
595,887071.0,GGP,Champaign,502257.0,,100.0,98.7,Market Place Shopping Center,,,IL,"[""Bergner's, JCPenney, Macy's,""]",,,,
596,1600934.0,GGP,Wauwatosa,637028.0,,100.0,97.4,Mayfair,,,WI,"[""Boston Store, Macy's, Nordstrom""]",,,,
597,944951.0,GGP,Las Vegas,308098.0,,100.0,94.3,Meadows Mall,,,NV,"[""Dillard's/Curacao, JCPenney, Macy's,"", 'Sears']",,,,
598,459453.0,GGP,Baltimore,385535.0,,100.0,100.0,Mondawmin Mall,,,MD,[nan],,,,
599,1324412.0,GGP,Alpharetta,421411.0,,100.0,92.5,North Point Mall,,,GA,"[""Dillard's, JCPenney, Macy's, Sears, Von"", 'Maur']",,,,
600,1247753.0,GGP,San Antonio,518431.0,,100.0,98.6,North Star Mall,,,TX,"[""Dillard's, JCPenney, Macy's, Saks Fifth"", 'Avenue']",,,,
601,1406079.0,GGP,Northridge,581636.0,,100.0,97.8,Northridge Fashion Center,,,CA,"[""JCPenney, Macy's, Sears""]",,,,
602,921026.0,GGP,Spokane,436517.0,,100.0,89.2,Northtown Mall,,,WA,"[""JCPenney, Kohl's, Macy's, Sears""]",,,,
603,859459.0,GGP,Omaha,255273.0,,100.0,84.9,Oak View Mall,,,NE,"[""Dillard's, JCPenney, Sears, Younkers""]",,,,
604,914017.0,GGP,Gretna,399989.0,,100.0,97.5,Oakwood Center,,,LA,"[""Dillard's, JCPenney, Sears""]",,,,
605,819370.0,GGP,Eau Claire,404526.0,,100.0,96.5,Oakwood Mall,,,WI,"[""Macy's, JCPenney, Sears, Younkers""]",,,,
